timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.12,gnb,ue[0],0,60,1000,950,30,471.278,548.745,52.3156,DL,1000,0.02,1,664.117,13.516,4.29948,0,0,0,0,0,0,0,0
0.12,gnb,ue[1],0,60,1000,950,30,257.239,545.204,60.5043,DL,1000,0.02,1,846.454,13.4737,1.19548,0,0,0,0,0,0,0,0
0.12,gnb,ue[2],0,60,1000,950,30,306.865,465.981,57.7284,DL,1000,0.02,1,845.861,14.4881,7.89942,5168.07,0,0.004,0,0,0,0,0
0.12,gnb,ue[3],0,60,1000,950,30,169.215,473.552,15.9469,DL,1000,0.02,1,957.812,14.9096,8.37805,3153.85,0,0.004,0,0,0,0,0
0.12,gnb,ue[4],0,60,1000,950,30,410.814,483.488,42.682,DL,1000,0.02,1,751.621,14.6001,-2.9048,0,0,0,0,0,0,0,0
0.12,gnb,ue[5],0,60,1000,950,30,267.289,496.384,13.1597,DL,1000,0.02,1,861.926,14.8052,6.7554,6254.24,0,0.004,0,0,0,0,0
0.12,gnb,ue[6],0,60,1000,950,30,32.1543,497.263,2.52318,DL,1000,0.02,1,1068.86,9.74871,4.65825,0,0,0,0,0,0,0,0
0.12,gnb,ue[7],0,60,1000,950,30,268.32,539.806,46.1853,DL,1000,0.02,1,838.973,16.1688,16.0326,9691.59,0,0.004,0,0,0,0,0
0.12,gnb,ue[8],0,60,1000,950,30,726.755,462.036,47.4872,DL,1000,0.02,1,559.533,13.2908,13.3667,0,0,0,0,0,0,0,0
0.12,gnb,ue[9],0,60,1000,950,30,908.257,553.958,3.52198,DL,1000,0.02,1,407.391,16.8397,30.1531,2635.51,0,0.004,0,0,0,0,0
0.12,gnb,ue[10],0,60,1000,950,30,186.071,470.976,33.8514,DL,1000,0.02,1,944.436,11.4694,7.69974,0,0,0,0,0,0,0,0
0.12,gnb,ue[11],0,60,1000,950,30,575.099,472.287,85.2736,DL,1000,0.02,1,641.721,15.2076,0.117578,8939.66,0,0.004,0,0,0,0,0
